userId,movieId,tag
6550,109,ex-con
62199,124,Giuseppe Tornatore
6550,127,woman director
94302,167,Last Words connection
62199,211,Mike Figgis
70092,244,VHS
6550,297,black panthers
21096,325,National Lampoon
150470,403,mexican
6550,411,stand-up comedy
62199,429,Adam Resnick
62199,452,John Irvin
21096,526,nudity (topless)
6550,560,woman director
62199,571,Richard Loncraine
70092,572,CLV
6550,576,coming of age
6550,625,young boy
106897,629,less than 300 ratings
160540,655,Sentana Filmproduktion
62199,683,Claude Chabrol
6550,701,industrial revolution
141166,738,Gerard Depardieu
62199,769,Chris Hunt
6550,771,congo
62199,790,Lucian Pintilie
62199,807,Eric Rohmer
6550,812,woman director
6550,822,poet
141166,827,John Malkovich
62199,844,Yin Li
6550,845,china
6550,855,woman director
6550,859,hippies
70092,875,CLV
6550,876,martial arts
6550,887,independent film
6550,981,independent film
62199,1002,John Walsh
6550,1039,woman director
62199,1075,Jan Bucquoy
6550,1106,leopard
6550,1134,based on true events
62199,1144,Susan Warms Dryfoos
61762,1157,Golden Palm
6550,1165,woman director
62199,1170,Phillip Rhee
62199,1313,Larry Bishop
6550,1314,independent film
6550,1315,woman director
62199,1364,Hans Petter Moland
6550,1368,revenge
6550,1433,based on novel or book
62199,1439,Peter Baldwin
62199,1486,Rolf de Heer
6550,1522,woman director
6550,1528,post-war england
110243,1548,easily confused with other movie(s) (title)
6550,1553,woman director
6550,1557,independent film
6550,1558,woman director
62199,1577,Tony Gatlif
35922,1628,less than 300 ratings
80863,1632,Greg Kinnear
110243,1657,easily confused with other movie(s) (title)
6550,1664,woman director
6550,1698,ice hockey
6550,1715,woman director
6550,1723,independent film
106897,1765,less than 300 ratings
10725,1782,Cigarette Smoking
6550,1814,independent film
72360,1854,prospect preferred
62199,1872,Michael Winterbottom
6550,1877,based on novel or book
70092,1890,BD-R
6550,2049,Disney
70092,2055,BD-R
11338,2101,Native Americans
62199,2103,Jeremiah S. Chechik
6550,2157,titanic
70092,2219,BD-R
6550,2244,woman director
14116,2258,ninja
21096,2298,nudity (topless)
62199,2307,Bruno Barreto
10247,2484,Kristy Swanson
6550,2489,woman director
21096,2543,nudity (topless)
21096,2589,nudity (topless)
131809,2601,hilarious
6550,2604,woman director
6550,2679,woman director
6550,2684,tax inspector
21096,2715,nudity (topless)
70092,2737,Betamax
70092,2740,Betamax
62199,2744,Franco Zeffirelli
6550,2832,suspense
62199,2835,Hugh Johnson
100702,2844,Owen Wilson
132585,2845,wanna-be gangters
6550,2865,woman director
6550,2909,woman director
21096,2910,nudity (full frontal)
6550,2980,love triangle
21096,2982,nudity (topless)
70092,3041,Betamax
70092,3049,BD-R
6550,3057,hollywood
106897,3065,less than 300 ratings
6550,3136,james dean
6550,3162,horse track
6550,3191,woman director
6550,3212,junkie
6550,3227,clubbing
70092,3231,DVD-Video
6550,3233,musical
6550,3239,autism
62199,3282,Richard Spence
62199,3286,Chris Koch
6550,3293,woman director
6550,3389,rescue operation
70092,3393,Betamax
86629,3401,Can't remember
63935,3407,Benoit Poelvoorde
62199,3410,Christina Andreef
62199,3419,Harold Prince
21096,3463,National Lampoon
64333,3515,?alternate endings
24547,3570,Fiona Shaw
62199,3595,Steve Rash
62199,3596,Scott Alexander
6550,3603,gay
62522,3636,Cannes
70092,3650,CLV
6550,3748,sport
6550,3762,jekyll and hyde
6550,3778,newspaper man
6550,3817,woman director
141166,3860,Christopher Walken
62199,3884,Michael Dinner
62199,3903,Jon Shear
6550,3904,suspense
6550,3944,tap dancing
62199,4058,Kuo-fu Chen
72360,4060,prospect preferred
6550,4070,woman director
6550,4134,comedy
62199,4136,Pat O'Connor
6550,4162,dog
6550,4165,love triangle
6550,4172,simon magus
6550,4202,blackmail
6550,4244,woman director
24969,4245,PG
62199,4252,Jafar Panahi
21096,4257,nudity (full frontal)
6550,4284,riverboat
6550,4311,murder investigation
6550,4364,woman director
6550,4505,from backpacks to strollers
70092,4513,Betamax
62199,4524,Paul Mazursky
62199,4525,Alan Metter
6550,4551,New World Pictures
62199,4569,Robert Radler
6550,4606,adoption
6550,4648,woman director
70092,4651,Betamax
6550,4693,independent film
21096,4698,directorial debut
6550,4760,bouncer
6550,4764,woman director
6550,4781,dystopia
6550,4817,independent film
6550,4818,sport
70092,4859,CLV
6550,4882,woman director
14116,4926,blindfold
6550,4983,nazi
46101,5006,offensive treatment of women
21096,5050,writers
6550,5070,independent film
65343,5083,Erotic
62199,5138,Abdul Malik Abbott
6550,5172,independent film
70092,5182,Betamax
21096,5257,nudity (topless)
6550,5270,Magnolia Pictures
6550,5271,woman director
6550,5273,woman director
6550,5284,independent film
62199,5286,Olivier Assayas
6550,5315,independent film
6550,5320,spooky house
6550,5326,woman director
110243,5331,clowns
70092,5332,Betamax
6550,5362,adventure
6550,5407,woman director
106897,5457,less than 300 ratings
62199,5510,Jesse Peretz
110243,5511,easily confused with other movie(s) (title)
141263,5519,Elvis Presley
133359,5533,sad
6550,5535,woman director
6550,5539,kids and family
122023,5561,politics
62199,5575,Claude Miller
6550,5580,skiing
6550,5624,independent film
6550,5661,suspense
6550,5676,woman director
122023,5681,politics
65939,5698,New York City
6550,5701,military academy
6550,5719,charlie chan
106730,5734,disturbing
106730,5736,disturbing
70092,5800,BD-R
6550,5831,suspense
141166,5842,Gerard Depardieu
70092,5846,CLV
6550,5880,ski
6550,5901,independent film
6550,5924,outlaw
6550,5976,suspense
6550,5982,independent film
6550,6034,musical
141166,6038,Keanu Reeves
6550,6049,based on novel or book
106897,6052,less than 300 ratings
70092,6074,Betamax
6550,6089,jönsson gang
70092,6102,Betamax
131116,6110,tivo
21096,6113,nudity (full frontal)
70092,6128,Betamax
70092,6149,Betamax
6550,6154,romantic comedy
6550,6161,biopic
62199,6191,Ken Loach
70092,6205,CLV
6550,6221,woman director
6550,6248,new mexican cinema
6550,6282,woman director
6550,6325,independent film
62199,6336,Bahman Ghobadi
62199,6375,AJ Schnack
21096,6384,nudity (topless)
70092,6472,VHS
35058,6496,NO_FA_GANES
125054,6514,mst3k
6550,6529,independent film
6550,6546,woman director
62199,6547,Michael Polish
62199,6557,John Gray
14116,6569,hotel
160540,6574,New York City
6550,6580,woman director
6550,6590,rock star
6550,6594,woman director
21096,6600,nudity (topless)
21096,6608,nudity (topless)
6550,6622,woman director
70092,6626,CLV
6550,6627,nun
62199,6673,Carlos Saura
21096,6685,imdb bottom 100
95745,6698,Emmy Rossum
6550,6715,Fangoria
155724,6745,Cheech Marin
62199,6766,Hamlet Sarkissian
61762,6778,Oscar (Best Foreign Language Film)
6550,6833,independent film
141166,6845,Gary Oldman
75702,6847,andy robinson
6550,6865,independent film
125054,6871,dogs
6550,6878,new french extremism
6550,6928,independent film
110243,6955,easily confused with other movie(s) (title)
62199,7129,Jon Amiel
3150,7138,Police
64333,7144,Judaism
6550,7186,mystery
6550,7203,independent film
70092,7271,Betamax
6550,7322,tel aviv
70092,7332,CLV
6550,7343,wisconsin
36535,7355,loved this cartoon
62199,7443,Michael Almereyda
6550,7457,best selling author
6550,7623,independent film
6550,7639,independent film
141166,7723,Chuck Norris
107945,7739,Gender swap
6550,7750,woman director
6550,7775,tv movie
62199,8038,Cecil B. DeMille
6550,8290,crime
40413,8374,Chillout
6550,8425,New World Pictures
131347,8453,marriage
14116,8603,Teddy Award
106897,8629,less than 300 ratings
6550,8637,Disney
35058,8697,NO_FA_GANES
14116,8703,To See
6550,8707,gay interest
70092,8709,Betamax
54838,8793,torture
21096,8812,nudity (full frontal)
62199,8824,Henry Levin
64333,8829,animal:dog
36535,8837,British Comedy
6550,8863,woman director
62199,8871,Jeff Nathanson
70092,8876,VistaVision
6550,8935,christmas
6550,8975,independent film
74906,8988,Jerry Lewis
6550,8992,mailroom
6550,9009,independent film
62199,25770,Rouben Mamoulian
62199,25814,Jean Renoir
6550,25935,heiress
70092,26008,VistaVision
62199,26016,Charles Frend
6550,26033,japanese new wave
62199,26046,Jean Renoir
72360,26106,might like
62199,26127,Bernhard Wicki
6550,26235,sahara
60024,26256,James Garner
70092,26297,BD-R
70092,26343,BD-R
6550,26353,martial arts
62199,26368,Eric Rohmer
62199,26372,Nikita Mikhalkov
6550,26484,woman director
70092,26514,Betamax
6550,26526,hong kong
70092,26532,Betamax
70092,26643,DVD-Video
62199,26670,Hiroshi Teshigahara
122236,26677,Nudity (Topless)
6550,26723,neo-noir
6550,26769,bridge
6550,26818,sequel
62199,26826,Tony Gatlif
21096,26831,not available from Netflix
21096,26964,nudity (topless)
6550,27070,woman director
21096,27081,nudity (topless)
62199,27093,Claude Miller
6550,27235,independent film
62199,27236,Kiyoshi Kurosawa
62199,27273,Pablo Trapero
6550,27306,independent film
6550,27307,overdub
6550,27360,russian mafia
72360,27372,might like
62199,27458,David Caesar
6550,27525,woman director
6550,27631,experimental
6550,27644,eroticism
94026,27719,seen 2012
74320,27751,Stephen King
62199,27760,Yôjirô Takita
62199,27764,Yukihiko Tsutsumi
62199,27771,Manoel de Oliveira
6550,27824,independent film
6550,30767,suspense
62199,30854,Ming-liang Tsai
62199,30890,Gianni Amelio
6550,30942,apache
141166,31083,Jack Nicholson
6550,31494,independent film
6550,31535,musketeer
6550,31577,independent film
62199,31742,Arthur Barron
6550,31945,woman director
62199,32013,Jan Hrebejk
6550,32015,woman director
35058,32122,NO_FA_GANES
6550,32141,small town
6550,32156,underwater
6550,32605,independent film
62199,32724,John Hillcoat
120793,33081,BGAB LRC
6550,33140,sport
70092,33253,Betamax
62199,33426,Toshiaki Toyoda
62199,33533,Hiner Saleem
46121,33573,netflix
6550,33675,love
24969,33688,PG
21096,33844,nudity (topless)
72360,33863,might like
62199,34138,Andrey Konchalovskiy
6550,34158,family drama
6550,34216,independent film
62199,34231,Yun-ho Yang
6550,34364,woman director
6550,34371,comedy
62199,36373,Peter Chan
62199,37058,Michael Powell
8773,37844,competition
62199,38376,Giuseppe Tornatore
6550,38839,woman director
127341,39364,italian
6550,39412,woman director
21096,39516,nudity (topless)
62199,40404,Gustavo Loza
6550,40559,independent film
6550,41564,woman director
78784,41644,based on a book
62199,41824,Kim Ki-Duk
62199,42150,Mahamat-Saleh Haroun
62199,42591,Chris Marker
6550,42679,spy
62199,42956,Michael Anderson
62199,43351,Allan Arkush
6550,43389,army
6550,43732,woman director
6550,43803,woman director
6550,44255,passion
64333,44494,Inspector Clouseau (series)
21096,44571,devil
62199,44585,Hsiao-Hsien Hou
62522,44628,Cannes
6550,44703,african american
6550,45038,New World Pictures
160256,45578,finnish new wave
6550,45648,sport
62199,45689,Mike Leigh
21096,45994,nudity (topless)
6550,46201,independent film
6550,46311,sport
70092,46325,BD-R
70092,46367,CLV
62199,47918,Henry King
62199,47962,Krzysztof Kieslowski
150005,47972,trophy wife
62199,48647,Chris Marker
70092,48713,DVD-R
131347,48895,secrets
62199,49063,Pierre Adidge
6550,49115,independent film
6550,49330,suspense
72360,49402,might like
6550,49644,independent film
70092,49754,Betamax
6550,49926,woman director
6550,50382,musical
6550,50628,stunt
6550,51019,woman director
6550,51194,sport
6550,51577,suspense
6550,51809,iraq war
6550,51817,hitman
62199,52078,Yôji Yamada
6550,52108,independent film
6550,52273,woman director
6550,52551,street race
62199,52617,Sang-soo Hong
125054,52715,break dancing
6550,52804,independent film
6550,52872,man-woman relation
62199,52956,Tung-Shing Yee
21096,53084,nudity (topless)
62199,53833,Jim McBride
6550,53839,woman director
150005,53849,alcoholic hero
9492,54349,trippy
6550,54621,playwright
6550,55147,woman director
6550,55406,independent film
62199,55489,Claude Chabrol
6550,55668,teenager
36859,56030,darfur
6550,56513,independent film
125054,57236,mumblecore
6550,57269,woman director
21096,57805,racism
6550,57811,war in afghanistan
6550,57848,independent film
62199,57996,Michael Kang
6550,58130,escape from prison
21096,58146,imdb bottom 100
6550,58209,woman director
72360,58282,might like
115632,58452,amish
62199,58578,Michael Hoffman
62199,58610,Doug Block
6550,58641,jerusalem
62199,58812,Ettore Scola
160256,58895,Czechoslovak New Wave
6550,59922,woman director
6550,60086,independent film
70092,60229,BD-R
62199,60256,Satyajit Ray
6550,60284,sport
62199,60391,Aleksandr Sokurov
6550,60436,alabama
6550,60490,israeli
42496,60590,corporate malfeasance
62199,60666,Jonathan Demme
110243,60768,music documentary
62199,61041,Brad Furman
21096,61083,nudity (topless)
160540,61100,TIFF Top 30 of the 2000s
40265,61253,less than 300 ratings
6550,61475,farm worker
6550,61569,woman director
6550,61634,lassie
6550,61695,pickpocket
148197,61707,perrot library
62199,62206,Juzo Itami
21096,62420,India
6550,62920,fashion
62199,63007,Cecil B. DeMille
6550,63273,presidential election
130110,63828,Documentary
6550,63836,cult leader
6550,64153,slaughter
6550,64550,dungeon
120793,65001,BGAB LRC
6550,65111,independent film
6550,65277,outlaw
14116,65315,library
6550,65558,woman director
6550,65621,woman director
6550,65633,independent film
6550,65696,bank robber
6550,65698,albuquerque
3503,65907,Reino Nordin
6550,65986,gunfighter
6550,66006,world war ii
6550,66036,woman director
62199,66284,D.W. Griffith
62199,66323,Maciej Slesicki
6550,66437,independent film
6550,66491,train
6550,66701,independent film
6550,66815,woman director
6550,66927,female friendship
88790,67459,rape
6550,67845,woman director
6550,67876,jesse james
6550,68033,vigilante
126013,68137,Mika Nakashima
6550,68161,biography
70092,68214,BD-R
6550,68216,silent film
6550,68233,secessionists
6550,68265,woman director
104708,68349,biopic
6550,68662,senility
21096,68865,not on DVD
6550,69095,Magnolia Pictures
6550,69195,trapper
21096,69201,not on DVD
21096,69203,not on DVD
70092,69217,DVD-Video
21096,69231,Poland
6550,69255,woman director
6550,69302,independent film
62199,69475,Anthony Harvey
21002,69493,heist movies
6550,69670,suspense
62199,69856,Alain Resnais
6550,69957,woman director
21096,69979,not available from Netflix
70092,70155,BD-R
21096,70197,Middle East
21096,70318,nudity (topless)
6550,70331,woman director
62199,70370,Hsiao-Hsien Hou
70092,70513,DVD-Video
6550,70571,woman director
6550,70591,independent film
62199,70684,Hsiao-Hsien Hou
62199,70722,Hsiao-Hsien Hou
6550,70742,woman director
21096,70800,made for TV
6550,70964,woman director
21096,70976,nudity (topless)
6550,71065,woman director
116327,71094,Added
62199,71104,Tay Garnett
141361,71110,Finnish
21096,71114,nudity (topless)
21096,71158,immigrants
6550,71216,musical
6550,71237,sport
6550,71278,deserted island
21096,71357,nudity (full frontal)
6550,71386,angel
62199,71488,Jan Svankmajer
70092,71545,CLV
6550,71606,musical
21096,71730,biography
160256,71750,pop art
6550,71760,woman director
70092,71808,VHS
6550,71851,based on novel or book
6550,71933,world war ii
3503,71976,Fritz Lang
21096,72265,based on a book
6550,72267,sport
3503,72276,Fritz Lang
6550,72302,world war i
6550,72325,flowers
62199,72327,Irving Lerner
6550,72400,treasury department
6550,72512,woman director
6550,72587,bollywood
62199,72589,Kenji Mizoguchi
110243,72591,easily confused with other movie(s) (title)
3503,72626,short
6550,72637,woman director
6550,72643,silent film
6550,72645,woman director
62199,72651,René Clair
6550,72657,nazi
62199,72674,D.W. Griffith
62199,72681,Josef von Sternberg
62199,72781,Mads Brügger
6550,72822,rwanda
62199,72870,Kenji Mizoguchi
6550,72874,energiestrahlenwaffe
62199,72878,Kenji Mizoguchi
110243,72923,kung fu
6550,72927,donkey
70092,72936,BD-R
6550,72960,woman director
6550,73060,independent film
6550,73133,bigfoot
62199,73139,Jacques Rivette
62199,73196,Kenji Mizoguchi
6550,73202,woman director
6550,73204,autobiography
62199,73457,Yasujirô Ozu
6550,73462,sport
6550,73492,sailor
108703,73501,finnish
6550,73531,independent film
6550,73581,woman director
141361,73744,Finnish
6550,73754,woman director
62199,73774,Marcel Pagnol
62199,73782,Claude Autant-Lara
62199,73818,Arnaud Desplechin
6550,73851,independent film
62199,73868,Oliver Hodge
62199,73978,Cecil B. DeMille
21096,74056,writers
6550,74064,suspense
6550,74330,independent film
6550,74337,napoleon bonaparte
6550,74590,semi-documentary
145192,74619,made for TV
144509,75392,cop
14116,75434,easily confused with other movie(s) (title)
6550,75927,independent film
6550,75950,egypt
6550,76147,woman director
6550,76156,child of divorce
6550,76217,independent film
62199,76258,Morten Tyldum
62199,76288,Philippe Mora
6550,76291,bollywood
